Element Name,Windows NT,Windows,Windows CE,Win32s,Component,Component Version,Header File,Import Library,Unicode,Element Type
IEPGEpisode::IsRemindItem,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::Layout,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::PayPerView,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::PPVCanBeCancelled,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::PPVTapeCost,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::PPVTokenAddress,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::PPVViewCost,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::PurchaseIdx,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::RatingID,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::RemindRecordIdx,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::Repetition,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::ThemeID,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::TimeSlotID,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::BodyText,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::EndTime,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::GetIcon,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::GetOption,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::Length,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::NumIcons,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::NumOptions,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::OnNow,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::OptionPrompt,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::PreviewGraphic,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::StartTime,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::Title,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGItem::TuningInfo,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IKSDriver::IKSDriver,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSDriver::Ioctl,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSDriver::IsValid,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSDriver::QueryPin,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSDriver::QueryProperty,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::GetOverlappedResult,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::IKSPin,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::Ioctl,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::IsRunning,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::IsValid,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::QueryProperty,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::ReadData,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::Run,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSPin::Stop,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSProperty::GetValue,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSProperty::IKSProperty,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSProperty::IsValid,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IKSProperty::SetValue,,Windows 98,,,Broadcast Architecture,,Iks.h,Icodec.lib,,interface method
IScanlinesProperty::IScanlinesProperty,,Windows 98,,,Broadcast Architecture,,Icodec.h,Icodec.lib,,interface method
IScheduledItems::Add,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
IScheduledItems::AddFromQuery,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
IScheduledItems::get__NewEnum,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
IScheduledItems::get_Count,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
IScheduledItems::Item,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
IScheduledItems::Remove,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ISubstreamsProperty::ISubstreamsProperty,,Windows 98,,,Broadcast Architecture,,Icodec.h,Icodec.lib,,interface method
ITelevisionServices::CreateUser,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::DeleteEnhancementFromID,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::DeleteOldEnhancements,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::DeleteUser,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::get_ClipboardFormat,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::get_ClipboardFormatName,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::get_DatabaseFile,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::get_ScheduledItems,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::get_SystemFile,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::LoadEnhancement,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::LoadEnhancementsFromFile,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::MakeLocalBroadcastSchedule,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::MakeRemoteBroadcastSchedule,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::RemapEnhancements,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::ResolveBroadcast,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::ResolveBroadcastInclusively,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::ResolveScheduledReminders,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::RestrictionQueryName,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::SplitBroadcastSchedule,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
ITelevisionServices::SplitSimpleBroadcastSchedule,,Windows 98,,,Broadcast Architecture,,Tssadmin.odl,Tssadmin.dll,,interface method
